Country,FigTimeBin,LocationIsland,ReefSiteLocality,Lat,Long,StartYearAD,EndYearAD,StudyDepth,ApalmPres,AcervPres,BranchPoriPres,AgarPres,CavPres,ColpPres,DiplPres,MadrPres,MeanPres,MillPres,OrbiPres,PastrPres,SidePres,StephPres
USVI,2000-2004,St. John,Yawzi,18.30701667,-64.72131667,2001,NA,9,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,2000-2004,St. John,Random Sites,18.30701667,-64.72131667,2002,NA,9,0,0,NA,1,NA,0,1,0,NA,0,0,NA,1,NA
USVI,2000-2004,St. John,Tektite,18.30701667,-64.72131667,2002,NA,14,0,0,NA,1,NA,1,1,0,NA,0,1,NA,1,NA
USVI,2000-2004,St. John,Yawzi,18.30701667,-64.72131667,2002,NA,9,0,0,NA,0,NA,0,0,0,NA,0,1,NA,1,NA
USVI,2000-2004,St. John,Random Sites,18.30701667,-64.72131667,2003,NA,9,0,0,NA,1,NA,0,1,0,NA,0,0,NA,1,NA
USVI,2000-2004,St. John,Tektite,18.30701667,-64.72131667,2003,NA,14,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,2000-2004,St. John,Yawzi,18.30701667,-64.72131667,2003,NA,9,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,2000-2004,St. John,Random Sites,18.30701667,-64.72131667,2004,NA,9,0,0,NA,1,NA,0,1,0,NA,0,0,NA,1,NA
USVI,2000-2004,St. John,Tektite,18.30701667,-64.72131667,2004,NA,14,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,2000-2004,St. John,Yawzi,18.30701667,-64.72131667,2004,NA,9,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,2005-2011,St. John,Random Sites,18.30701667,-64.72131667,2005,NA,9,0,0,NA,1,NA,0,1,0,NA,0,0,NA,1,NA
USVI,2005-2011,St. John,Tektite,18.30701667,-64.72131667,2005,NA,14,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,2005-2011,St. John,Yawzi,18.30701667,-64.72131667,2005,NA,9,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,2005-2011,St. John,Random Sites,18.30701667,-64.72131667,2006,NA,9,0,0,NA,1,NA,0,1,0,NA,0,0,NA,1,NA
USVI,2005-2011,St. John,Tektite,18.30701667,-64.72131667,2006,NA,14,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,2005-2011,St. John,Yawzi,18.30701667,-64.72131667,2006,NA,9,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,2005-2011,St. John,Random Sites,18.30701667,-64.72131667,2007,NA,9,0,0,NA,1,NA,0,1,0,NA,0,0,NA,1,NA
USVI,2005-2011,St. John,Tektite,18.30701667,-64.72131667,2007,NA,14,0,0,NA,1,NA,1,1,0,NA,0,1,NA,1,NA
USVI,2005-2011,St. John,Yawzi,18.30701667,-64.72131667,2007,NA,9,0,0,NA,0,NA,0,0,0,NA,0,1,NA,0,NA
USVI,2005-2011,St. John,Random Sites,18.30701667,-64.72131667,2008,NA,9,0,0,NA,1,NA,0,1,0,NA,0,0,NA,1,NA
USVI,2005-2011,St. John,Tektite,18.30701667,-64.72131667,2008,NA,14,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,2005-2011,St. John,Yawzi,18.30701667,-64.72131667,2008,NA,9,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,2005-2011,St. John,Random Sites,18.30701667,-64.72131667,2009,NA,9,0,0,NA,1,NA,0,1,0,NA,0,0,NA,1,NA
USVI,2005-2011,St. John,Tektite,18.30701667,-64.72131667,2009,NA,14,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,2005-2011,St. John,Yawzi,18.30701667,-64.72131667,2009,NA,9,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,2005-2011,St. John,Random Sites,18.30701667,-64.72131667,2010,NA,9,0,0,NA,1,NA,0,1,0,NA,0,0,NA,1,NA
USVI,2005-2011,St. John,Tektite,18.30701667,-64.72131667,2010,NA,14,0,0,NA,1,NA,1,1,0,NA,0,1,NA,1,NA
USVI,2005-2011,St. John,Yawzi,18.30701667,-64.72131667,2010,NA,9,0,0,NA,0,NA,1,0,0,NA,0,1,NA,1,NA
USVI,Holocene,St. Croix,St. Croix,17.78333333,-64.61666667,974,974,2.1-8.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BVI,1970-1979,Virgin Gordo,Puerto Rico Platform,18.468903,-64.403615,1974,NA,5 to 20,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puerto Rico,1970-1979,Virgin Gordo,Puerto Rico Platform,18.468903,-64.403615,1974,1975,5 to 20,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,1990-1994,Biscayne National Park,Alinas,25.38668333,-80.16298333,1994,NA,5,0,1,1,1,1,0,1,0,0,1,1,1,1,0
Florida,1990-1994,Biscayne National Park,Alinas,25.38668333,-80.16298333,1994,NA,6.096,0,1,1,1,0,0,1,0,0,1,1,1,1,0
Florida,1990-1994,Biscayne National Park,Alinas,25.38668333,-80.16298333,1994,NA,7.0104,0,0,1,1,1,0,0,0,0,1,0,1,1,0
Florida,1990-1994,Biscayne National Park,Ball Buoy,25.38668333,-80.16298333,1994,NA,5.1816,0,0,1,1,0,0,0,0,1,1,1,1,1,0
Florida,1990-1994,Biscayne National Park,Ball Buoy,25.38668333,-80.16298333,1994,NA,5.4864,0,0,1,1,1,0,0,0,1,1,0,1,1,0
Florida,1990-1994,Biscayne National Park,Ball Buoy,25.38668333,-80.16298333,1994,NA,5.7912,0,0,1,1,1,0,0,0,0,1,1,1,1,0
Florida,1990-1994,Biscayne National Park,Ball Buoy,25.38668333,-80.16298333,1994,NA,6.096,0,0,1,1,1,0,1,0,0,1,1,1,1,1
Florida,1990-1994,Biscayne National Park,Ball Buoy,25.38668333,-80.16298333,1994,NA,7.0104,0,0,1,1,1,1,1,0,0,1,1,1,1,0
